Player,No,Pos,DOB/Age,Caps,Club,Country,ClubCountry,Year,Gols
Ángel Bossio,,1GK,(1905-05-05)5 May 1905 (aged 25),16,Talleres (BA),Argentina,Argentina,1930,0
Juan Botasso,,1GK,(1908-10-23)23 October 1908 (aged 21),2,Argentino (Q),Argentina,Argentina,1930,0
Roberto Cherro,,4FW,(1907-02-23)23 February 1907 (aged 23),10,Boca Juniors,Argentina,Argentina,1930,0
Alberto Chividini,,2DF,(1907-02-23)23 February 1907 (aged 23),2,Central Norte,Argentina,Argentina,1930,0
Attilio Demaría,,4FW,(1909-03-19)19 March 1909 (aged 21),0,Estudiantil Porteño,Argentina,Argentina,1930,0
José Della Torre,,2DF,(1906-03-23)23 March 1906 (aged 24),0,Racing,Argentina,Argentina,1930,0
Juan Evaristo,,3MF,(1902-06-20)20 June 1902 (aged 28),22,Sportivo Palermo,Argentina,Argentina,1930,0
Mario Evaristo,,4FW,(1908-12-10)10 December 1908 (aged 21),6,Boca Juniors,Argentina,Argentina,1930,0
Manuel Ferreira (c),,4FW,(1905-10-22)22 October 1905 (aged 24),18,Estudiantes (LP),Argentina,Argentina,1930,0
Luis Monti,,3MF,(1901-05-15)15 May 1901 (aged 29),11,San Lorenzo,Argentina,Argentina,1930,0
Ramón Muttis,,2DF,(1899-03-12)12 March 1899 (aged 31),10,Boca Juniors,Argentina,Argentina,1930,0
Rodolfo Orlandini,,3MF,(1905-01-01)1 January 1905 (aged 25),8,Sp. Buenos Aires,Argentina,Argentina,1930,0
Fernando Paternoster,,2DF,(1903-05-24)24 May 1903 (aged 27),13,Racing,Argentina,Argentina,1930,0
Natalio Perinetti,,4FW,(1900-12-28)28 December 1900 (aged 29),15,Racing,Argentina,Argentina,1930,0
Carlos Peucelle,,4FW,(1908-09-13)13 September 1908 (aged 21),6,Sp. Buenos Aires,Argentina,Argentina,1930,0
Edmundo Piaggio,,2DF,(1905-10-03)3 October 1905 (aged 24),0,Lanús,Argentina,Argentina,1930,0
Alejandro Scopelli,,4FW,(1908-05-12)12 May 1908 (aged 22),4,Estudiantes (LP),Argentina,Argentina,1930,0
Carlos Spadaro,,4FW,(1902-02-05)5 February 1902 (aged 28),2,Lanús,Argentina,Argentina,1930,0
Guillermo Stábile,,4FW,(1905-01-17)17 January 1905 (aged 25),0,Huracán,Argentina,Argentina,1930,0
Arico Suárez,,3MF,(1908-06-05)5 June 1908 (aged 22),0,Boca Juniors,Argentina,Argentina,1930,0
Francisco Varallo,,4FW,(1910-02-05)5 February 1910 (aged 20),1,Gimnasia y Esgrima LP,Argentina,Argentina,1930,0
Adolfo Zumelzú,,3MF,(1902-01-05)5 January 1902 (aged 28),13,Sportivo Palermo,Argentina,Argentina,1930,0
Juan Aguilera,,4FW,(1903-10-23)23 October 1903 (aged 26),0,Audax Italiano,Chile,Chile,1930,0
Guillermo Arellano,,4FW,(1908-08-21)21 August 1908 (aged 21),0,Colo-Colo,Chile,Chile,1930,0
Ernesto Chaparro,,2DF,(1901-01-04)4 January 1901 (aged 29),3,Colo-Colo,Chile,Chile,1930,0
Arturo Coddou,,3MF,(1905-01-14)14 January 1905 (aged 25),0,Lord Cochrane,Chile,Chile,1930,0
Roberto Cortés,,1GK,(1905-02-02)2 February 1905 (aged 25),3,Colo-Colo,Chile,Chile,1930,0
Humberto Elgueta,,3MF,(1904-09-10)10 September 1904 (aged 25),9,Deportivo Naval,Chile,Chile,1930,0
César Espinoza,,1GK,(1900-09-28)28 September 1900 (aged 29),0,CD Santiago,Chile,Chile,1930,0
Víctor Morales,,2DF,(1905-05-10)10 May 1905 (aged 25),8,Colo-Colo,Chile,Chile,1930,0
Horacio Muñoz,,4FW,1 January 1900 (aged 30),9,Arturo Fernández Vial,Chile,Chile,1930,0
Tomás Ojeda,,4FW,(1910-04-20)20 April 1910 (aged 20),0,Boca Juniors Antofagasta,Chile,Chile,1930,0
Ulises Poirier,,2DF,(1897-02-02)2 February 1897 (aged 33),14,La Cruz FC,Chile,Chile,1930,0
Guillermo Riveros,,2DF,(1902-02-10)10 February 1902 (aged 28),2,La Cruz FC,Chile,Chile,1930,0
Guillermo Saavedra,,3MF,(1903-11-05)5 November 1903 (aged 26),6,Colo-Colo,Chile,Chile,1930,0
Carlos Schneeberger (c),,4FW,(1902-06-21)21 June 1902 (aged 28),3,Colo-Colo,Chile,Chile,1930,0
Guillermo Subiabre,,4FW,(1902-02-25)25 February 1902 (aged 28),3,Colo-Colo,Chile,Chile,1930,0
Arturo Torres,,3MF,(1906-10-20)20 October 1906 (aged 23),3,Colo-Colo,Chile,Chile,1930,0
Casimiro Torres,,3MF,1 January 1906 (age 24),0,Everton,Chile,Chile,1930,0
Carlos Vidal,,4FW,(1902-02-24)24 February 1902 (aged 28),0,Federico Schwager,Chile,Chile,1930,0
Eberardo Villalobos,,4FW,(1908-04-01)1 April 1908 (aged 22),0,Rangers,Chile,Chile,1930,0
Numa Andoire,,2DF,(1908-03-19)19 March 1908 (aged 22),0,Olympique Antibes,France,France,1930,0
Marcel Capelle,,2DF,(1904-12-11)11 December 1904 (aged 25),4,Racing Club de France,France,France,1930,0
Augustin Chantrel,,3MF,(1906-11-11)11 November 1906 (aged 23),8,CASG Paris,France,France,1930,0
Edmond Delfour,,3MF,(1907-11-01)1 November 1907 (aged 22),6,Racing Club de France,France,France,1930,0
Célestin Delmer,,3MF,(1907-02-15)15 February 1907 (aged 23),2,Amiens AC,France,France,1930,0
Marcel Langiller,,4FW,(1908-06-02)2 June 1908 (aged 22),8,Excelsior AC Roubaix,France,France,1930,0
Jean Laurent,,2DF,(1906-12-30)30 December 1906 (aged 23),3,FC Sochaux,France,France,1930,0
Lucien Laurent,,4FW,(1907-12-10)10 December 1907 (aged 22),2,FC Sochaux,France,France,1930,0
Ernest Libérati,,4FW,(1906-03-22)22 March 1906 (aged 24),3,Amiens AC,France,France,1930,0
André Maschinot,,4FW,(1903-06-28)28 June 1903 (aged 27),3,FC Sochaux,France,France,1930,0
Étienne Mattler,,2DF,(1905-12-25)25 December 1905 (aged 24),1,FC Sochaux,France,France,1930,0
Marcel Pinel,,4FW,(1908-07-08)8 July 1908 (aged 22),3,Red Star Paris,France,France,1930,0
André Tassin,,1GK,(1902-12-24)24 December 1902 (aged 27),0,Racing Club de France,France,France,1930,0
Alex Thépot,,1GK,(1906-07-30)30 July 1906 (aged 23),12,Red Star Paris,France,France,1930,0
Émile Veinante,,4FW,(1907-06-12)12 June 1907 (aged 23),3,Racing Club de France,France,France,1930,0
Alexandre Villaplane (c),,3MF,(1904-12-24)24 December 1904 (aged 25),22,Racing Club de France,France,France,1930,0
Efraín Amézcua,,3MF,(1907-08-03)3 August 1907 (aged 22),0,Atlante,Mexico,Mexico,1930,0
Oscar Bonfiglio,,1GK,(1905-10-05)5 October 1905 (aged 24),2,Marte,Mexico,Mexico,1930,0
Juan Carreño,,4FW,(1907-08-14)14 August 1907 (aged 22),2,Atlante,Mexico,Mexico,1930,0
Jesús Castro,,4FW,1 January 1900 (age 30),0,Deportivo Mexico,Mexico,Mexico,1930,0
Rafael Garza Gutiérrez (c),,2DF,(1896-12-13)13 December 1896 (aged 33),5,América,Mexico,Mexico,1930,0
Francisco Garza Gutiérrez,,2DF,(1904-03-14)14 March 1904 (aged 26),0,América,Mexico,Mexico,1930,0
Roberto Gayón,,4FW,1 January 1905 (age 25),0,América,Mexico,Mexico,1930,0
Hilario López,,4FW,(1907-11-18)18 November 1907 (aged 22),0,Marte,Mexico,Mexico,1930,0
